Instructor,Course,Quarter,Percentage Recommended Class,Percentage Recommended Professor,Study Hours per Week,Average Grade Expected,Average Grade Received
Xie Pengtao,ECE 175B - Prob Reasoning & Graphical Mod (A),SP23,78.9%,89.5%,7.76,B+ (3.63),B (3.09)
Mookherjea Shayan,ECE 183 - Optical Electronics (A),SP23,100.0%,100.0%,6.5,B (3.00),
Zhang Xinyu,ECE 191 - Engineering Group Design Proj (A),SP23,83.3%,83.3%,12.17,B+ (3.67),B (3.25)
Dey Sujit,ECE 25 - Introduction to Digital Design (A),SP23,90.0%,70.0%,7.83,B+ (3.43),B- (2.86)
Mir Arabbaygi Siavash,ECE 30 - Intro to Computer Engineering (A),SP23,59.5%,76.2%,8.91,B- (2.95),C+ (2.64)
Taur Yuan,ECE 35 - Introduction to Analog Design (A),SP23,86.5%,64.9%,8.23,B (3.13),C+ (2.43)
Zeger Kenneth A.,ECE 45 - Circuits and Systems (A),SP23,78.3%,89.1%,8.41,B (3.13),B- (2.76)
Rose Sharon,LIGN 108 - Languages of Africa (A),SP23,100.0%,100.0%,4.07,B (3.25),B (3.11)
Ackerman Farrell,LIGN 120 - Morphology (A),SP23,42.9%,26.5%,5.94,B (3.12),B (3.12)
Caponigro Ivano,LIGN 130 - Semantics (A),SP23,68.4%,83.3%,4.13,B (3.19),C+ (2.53)
Lott Margaret S.,LIGN 146 - Sociolinguistics/Deaf Communit (A),SP23,100.0%,100.0%,3.1,B+ (3.60),
Bergen Leon,LIGN 165 - Computational Linguistics (A),SP23,88.5%,88.5%,5.96,B+ (3.48),B- (2.74)
Kehler Andrew Scott,LIGN 17 - Making and Breaking Codes (A),SP23,96.0%,99.0%,3.2,B+ (3.47),B (3.16)
Mayberry Rachel,LIGN 171 - Child Language Acquisition (A),SP23,97.7%,95.5%,3.95,B+ (3.45),B+ (3.30)
Kluender Robert,LIGN 180 - Lang Representation in Brain (A),SP23,89.3%,71.4%,5.88,B (3.18),B (3.10)
McIntosh Justin Daniel,LIGN 8 - Languages & Cultures/America (A),SP23,100.0%,100.0%,3.24,B+ (3.65),B+ (3.45)
Llewellyn Smith Stefan G.,MAE 101B - Advanced Fluid Mechanics (A),SP23,74.3%,79.4%,7.32,B (3.09),B- (2.92)
Nomura Keiko K.,MAE 101B - Advanced Fluid Mechanics (B),SP23,91.1%,90.0%,8.21,B (3.09),B- (2.77)
Chen Renkun,MAE 101C - Heat Transfer (A),SP23,81.3%,93.8%,7.02,B- (2.97),B (3.07)
Becker Janet Maria,MAE 105 - Intro to Mathematical Physics (A),SP23,53.8%,60.3%,8.93,B- (2.81),B (3.05)
McEneaney William Michael,MAE 107 - Computational Methods/Engineer (A),SP23,81.3%,75.0%,6.33,B+ (3.35),B- (2.78)
Pham Hieu Tan,MAE 108 - Prob & Stats/Method/Mech Eng (A),SP23,85.7%,89.1%,6.75,B+ (3.33),B (3.14)
Bahadori Mohammad Yousef,MAE 110 - Thermodynamic Systems (A),SP23,60.0%,70.0%,8.3,B- (2.70),
Hidalgo-Gonzalez Patricia,MAE 119 - Intro Renew Energ/Solar & Wind (A),SP23,84.2%,82.5%,5.53,B (3.16),B+ (3.37)
Lubarda Marko,MAE 131A - Solid Mechanics I (B),SP23,86.5%,86.5%,6.05,B+ (3.30),B (3.08)
Nesterenko Vitali F,MAE 131A - Solid Mechanics I (C),SP23,100.0%,83.3%,5.94,B+ (3.41),B+ (3.51)
Qi Huihui,MAE 131A - Solid Mechanics I (D),SP23,95.5%,95.5%,7.62,B (3.30),B (3.03)
Frazier Michael,MAE 131B - Solid Mechanics II (A),SP23,97.6%,95.1%,6.7,B (3.23),B- (2.79)
Herbert Sylvia Lee,MAE 143B - Linear Control (A),SP23,74.4%,97.8%,9.05,B (3.00),C+ (2.69)
Diagne Mamadou Lamine,MAE 143B - Linear Control (B),SP23,98.0%,98.0%,6.58,B+ (3.41),B- (2.82)
Silberman Jack,MAE 148 - Intro to Autonomous Vehicles (A),SP23,100.0%,80.0%,12.9,A- (3.80),A- (3.97)
Friend James Robert,MAE 150 - Computational Methods/Design (A),SP23,84.8%,95.7%,8.37,B (3.07),B- (2.71)
Tynan George Robert,MAE 152 - Intro Manual and CNC Machining (A),SP23,100.0%,100.0%,2.32,A (4.00),
Tynan George Robert,MAE 152 - Intro Manual and CNC Machining (B),SP23,100.0%,100.0%,0.9,A (4.00),
Tynan George Robert,MAE 152 - Intro Manual and CNC Machining (C),SP23,100.0%,100.0%,1.5,A (4.00),
Tynan George Robert,MAE 152 - Intro Manual and CNC Machining (D),SP23,100.0%,100.0%,1.0,A (4.00),
Tynan George Robert,MAE 152 - Intro Manual and CNC Machining (E),SP23,100.0%,100.0%,1.61,A (4.00),
Anderson Mark Ronald,MAE 155B - Aerospace Engineering Desgn II (A),SP23,92.3%,100.0%,7.58,B+ (3.69),B+ (3.65)
Hwang John T,MAE 155B - Aerospace Engineering Desgn II (B),SP23,100.0%,100.0%,11.54,A- (3.84),A- (3.87)
Delson Nathan Joseph,MAE 156B - Fund. Prin/Mechanical Desgn II (A),SP23,100.0%,87.5%,14.63,A- (3.75),A- (3.77)
Ghazinejad Maziar,MAE 156B - Fund. Prin/Mechanical Desgn II (B),SP23,94.1%,100.0%,14.26,B+ (3.59),A- (3.97)
Tustaniwskyj Jerry I,MAE 156B - Fund. Prin/Mechanical Desgn II (C),SP23,83.3%,91.7%,13.83,B+ (3.67),A- (3.78)
Pawlak Geno Ronald,MAE 156B - Fund. Prin/Mechanical Desgn II (D),SP23,90.9%,90.9%,13.59,B+ (3.55),B+ (3.51)
Fullerton Eric E,MAE 166 - Modern Concepts/Nanotechnology (A),SP23,78.9%,78.9%,7.03,B (3.28),B+ (3.32)
Beg Farhat N.,MAE 170 - Experimental Techniques (A),SP23,83.0%,95.5%,7.63,B+ (3.55),B+ (3.50)
Anderson Mark Ronald,MAE 184 - Flight Simulation Techniques (A),SP23,100.0%,100.0%,3.91,A- (3.73),B+ (3.68)
Schmidt Oliver,MAE 185 - Computational Fluid Mechanics (A),SP23,100.0%,100.0%,6.36,B+ (3.64),B+ (3.57)
Morimoto Tania,MAE 3 - Intro to Mechanical Design (A),SP23,93.1%,100.0%,12.98,B+ (3.55),B- (2.89)
Qi Huihui,MAE 3 - Intro to Mechanical Design (B),SP23,98.2%,100.0%,14.39,B+ (3.33),B+ (3.33)
Delson Nathan Joseph,MAE 30A - Statics & Intro to Dynamics (A),SP23,83.3%,76.5%,6.94,B- (2.94),C+ (2.43)
Bahadori Mohammad Yousef,MAE 30B - Dynamics and Vibrations (A),SP23,77.6%,61.2%,6.83,B- (2.92),B- (2.74)
Ghazinejad Maziar,MAE 30B - Dynamics and Vibrations (B),SP23,98.9%,100.0%,7.05,B+ (3.41),B (3.25)
Lubarda Marko,MAE 30B - Dynamics and Vibrations (C),SP23,92.5%,92.5%,6.35,B (3.15),B- (2.99)
Willis Jarryd Thomas,PSYC 1 - Psychology (A),SP23,98.4%,98.0%,3.35,A- (3.84),A- (3.86)
Brady Adena Schachner,PSYC 101 - Developmental Psychology (A),SP23,96.4%,97.6%,4.04,B+ (3.49),B- (2.94)
Moranton Nirelia Melbina-,PSYC 102 - Sensory Neuroscience (A),SP23,78.7%,81.7%,7.0,B (3.02),B- (2.81)
Wong Lauren Hitomi,PSYC 104 - Social Psychology (A),SP23,96.0%,97.2%,4.2,B+ (3.67),B (3.30)
Lowe Angela Beth,PSYC 105 - Cognitive Psychology (A),SP23,88.0%,92.3%,4.95,B (3.11),B (3.06)
Gremel Christina M,PSYC 106 - Behavioral Neuroscience (A),SP23,74.2%,83.9%,6.57,B- (2.85),C+ (2.31)
Adrian Julia Anna,PSYC 108 - Cognitive Neuroscience (A),SP23,89.2%,83.8%,4.83,B+ (3.40),B- (2.97)
