Instructor,Course,Quarter,Percentage Recommended Class,Percentage Recommended Professor,Study Hours per Week,Average Grade Expected,Average Grade Received
Gillett David S,MAE 156B - Fund. Prin/Mechanical Desgn II (C),SP19,95.2%,100.0%,14.12,B+ (3.57),B+ (3.60)
Ghazinejad Maziar,MAE 156B - Fund. Prin/Mechanical Desgn II (D),SP19,93.8%,86.7%,12.38,B (3.27),A- (3.71)
Evdokimenko Ekaterina,MAE 160 - Mechanical Behavior/Materials (A),SP19,92.0%,100.0%,5.94,B+ (3.64),B+ (3.60)
Boechlernicholas Sebastia,MAE 170 - Experimental Techniques (A),SP19,54.6%,87.6%,9.36,B (3.07),B+ (3.37)
Garay Javier,MAE 170 - Experimental Techniques (A),SP19,50.0%,75.2%,11.19,B (3.06),B+ (3.37)
Anderson Mark Ronald,MAE 184 - Flight Simulation Techniques (A),SP19,100.0%,93.8%,7.25,A- (3.93),A- (3.82)
Coimbra Carlos F.,MAE 198 - Directed Group Study (A),SP19,100.0%,100.0%,0.5,,
Coimbra Carlos F.,MAE 198 - Directed Group Study (B),SP19,100.0%,100.0%,1.5,,
Delson Nathan Joseph,MAE 198 - Directed Group Study (C),SP19,100.0%,100.0%,10.5,A (4.00),
Delson Nathan Joseph,MAE 3 - Intro/Engineering Graphcs&Desn (B),SP19,81.5%,93.3%,13.68,B+ (3.42),B+ (3.36)
Morimoto Tania,MAE 3 - Intro/Engineering Graphcs&Desn (B),SP19,81.5%,91.5%,13.68,B+ (3.42),B+ (3.36)
Gibson Carl H.,MAE 5 - Quantitative Computer Skills (A),SP19,77.8%,77.8%,4.78,B+ (3.60),A- (3.82)
Lubarda Marko,MAE 8 - MATLAB Program for Engr Analys (A),SP19,90.5%,96.8%,5.13,B+ (3.51),B+ (3.30)
Coimbra Carlos F.,MAE 93 - Design Compet/Design Race Car (A),SP19,100.0%,100.0%,6.5,,
Hanes Esther,PSYC 1 - Psychology (A),SP19,99.1%,98.3%,2.77,A- (3.74),B (3.28)
Rose Fred E.,PSYC 100 - Clinical Psychology (A),SP19,94.5%,95.5%,5.47,B (3.29),B- (2.94)
Brady Adena Schachner,PSYC 101 - Developmental Psychology (A),SP19,97.4%,96.1%,4.2,B+ (3.38),B- (2.97)
Lowe Angela Beth,PSYC 105 - Cognitive Psychology (A),SP19,94.3%,97.6%,4.83,B (3.26),B (3.15)
Gremel Christina M,PSYC 106 - Behavioral Neuroscience (A),SP19,89.2%,88.6%,5.54,B (3.25),B- (2.89)
Aron Adam,PSYC 108 - Cognitive Neuroscience (A),SP19,78.5%,84.3%,5.63,B (3.28),B (3.24)
Geller Emma Harlan,PSYC 111B - Research Methods II (A),SP19,100.0%,100.0%,7.41,A- (3.77),A- (3.85)
Stoermer Viola Sophie,PSYC 113 - Electroencephalogram (EEG) Lab (A),SP19,100.0%,100.0%,4.1,A (4.00),A (4.00)
Pashler Harold E,PSYC 115B - Lab/Cognitive Psychology II (A),SP19,100.0%,75.0%,3.5,A (4.00),
Lang Ariel,PSYC 116C - Lab/Clinical Psyc Research III (A),SP19,100.0%,100.0%,4.7,A- (3.90),
Winward Jennifer Laven,PSYC 116C - Lab/Clinical Psyc Research III (B),SP19,100.0%,100.0%,4.21,B+ (3.67),
Bajic Daniel Andrew,PSYC 117 - Educ Research/Outreach Lab (A),SP19,100.0%,100.0%,4.0,A (4.00),A (4.00)
Miller Cory T.,PSYC 122 - Mechanisms of Animal Behavior (A),SP19,93.9%,95.6%,4.45,B+ (3.49),B (3.22)
Lacefield Katharine I,PSYC 124 - Clinical Assessment/Treatment (A),SP19,96.7%,100.0%,3.8,A- (3.83),A- (3.81)
Fletcher Laura Michelle,PSYC 129 - The Logic of Perception (A),SP19,78.3%,95.5%,4.41,B (3.23),B (3.09)
Anagnostaras Stephan,PSYC 131 - Scientific Racism (A),SP19,77.8%,82.2%,2.9,A- (3.76),A- (3.82)
Kaye Walter H.,PSYC 134 - Eating Disorders (A),SP19,93.8%,93.8%,3.44,B+ (3.56),A- (3.82)
Leong Lim Man,PSYC 148 - Psychology/Judgement&Decision (A),SP19,50.6%,51.9%,4.29,B (3.18),B- (2.93)
Gasperi Marianna,PSYC 152 - Conceptions of Intelligence (A),SP19,96.0%,100.0%,4.08,B+ (3.58),B+ (3.33)
Willis Jarryd Thomas,PSYC 158 - Interpersonal Relationships (B),SP19,95.7%,94.2%,3.78,B+ (3.67),B+ (3.46)
Lacefield Katharine I,PSYC 168 - Psychological Disorders/Child (A),SP19,94.4%,94.4%,4.97,B+ (3.38),B+ (3.31)
Ramachandran Vilayanur S,PSYC 169 - Brain Damage & Mental Function (A),SP19,78.8%,67.3%,5.19,B (3.18),B- (2.70)
Mc Kenzie Craig R.M.,PSYC 176 - Creativity (A),SP19,90.9%,93.2%,3.97,B+ (3.56),B+ (3.47)
Glaser Dale,PSYC 178 - Industrial Organizational Psyc (A),SP19,82.0%,93.3%,4.1,B+ (3.31),B (3.08)
Breit Kristen Rian,PSYC 179 - DrugsAddiction&Mental Disordr (A),SP19,100.0%,100.0%,3.69,A- (3.73),A- (3.84)
Barner David A.,PSYC 190 - The Science of Parenting (A),SP19,93.7%,92.9%,4.23,B+ (3.70),B+ (3.62)
Rickard Timothy C.,PSYC 191 - Psychology of Sleep (A),SP19,97.0%,90.9%,4.2,B (3.20),B- (2.74)
Aron Adam,PSYC 193 - Topics in Psychology (A),SP19,100.0%,100.0%,8.28,B+ (3.67),
Heyman Gail D.,PSYC 194C - Honors Thesis III (A),SP19,100.0%,100.0%,9.17,A (4.00),A- (3.99)
Willis Jarryd Thomas,PSYC 6 - General Psychology: Social (A),SP19,98.5%,98.1%,3.31,B+ (3.59),B (3.20)
Lowe Angela Beth,PSYC 60 - Introduction to Statistics (A),SP19,84.9%,94.6%,4.86,B (3.11),B- (2.73)
Steiner Eric Tomas,PSYC 60 - Introduction to Statistics (B),SP19,90.6%,96.3%,4.27,B (3.15),C+ (2.68)
Hanes Esther,PSYC 7 - Gen Psych:Developmental Fndtns (A),SP19,98.7%,100.0%,3.03,A- (3.75),B+ (3.44)
Steiner Eric Tomas,PSYC 70 - Research Methods in Psychology (A),SP19,95.7%,95.7%,3.93,B+ (3.32),B- (2.96)
Geller Emma Harlan,PSYC 71 - Lab/Psych Research Methods (A),SP19,94.7%,100.0%,5.47,B+ (3.46),B+ (3.34)
Chien Shu,BENG 1 - Introduction to Bioengineering (A),WI19,79.6%,93.7%,2.79,B+ (3.67),
Mc Culloch Andrew Douglas,BENG 112A - Tissue Biomechanics (A),WI19,85.7%,78.6%,7.07,B+ (3.50),B (3.15)
Subramaniam Shankar,BENG 120 - Org Chem-Structural & Design (A),WI19,50.0%,65.2%,8.25,B+ (3.33),B+ (3.38)
Wang Yingxiao,BENG 120 - Org Chem-Structural & Design (A),WI19,50.0%,54.2%,8.25,B+ (3.33),B+ (3.38)
Palsson Bernhard O.,BENG 123 - Dynamic Simulatn in Bioeng (A),WI19,76.5%,58.8%,11.72,B+ (3.56),B (3.01)
Wheeler Bruce Christopher,BENG 126B - Design Implmnt Informatcs BENG (A),WI19,66.7%,100.0%,5.17,A (4.00),B+ (3.65)
Subramaniam Shankar,BENG 130 - Biotech Thermodynamics & Kinet (A),WI19,55.8%,69.2%,6.5,B (3.25),B+ (3.58)
Cabrales Pedro,BENG 140A - Bioengineering Physiology (A),WI19,92.2%,96.1%,6.03,B+ (3.40),B (3.24)
Wheeler Bruce Christopher,BENG 148B - Design Implmntatn Cardiac BENG (A),WI19,100.0%,100.0%,11.5,B+ (3.50),
Wheeler Bruce Christopher,BENG 152 - BioSystems Engineering Lab (A),WI19,100.0%,100.0%,6.1,A (4.00),A- (3.77)
Huang Xiaohua,BENG 161B - Biochemical Engineering (A),WI19,100.0%,87.5%,7.2,A- (3.88),B+ (3.68)
Lewis Nathan E,BENG 161B - Biochemical Engineering (B),WI19,33.3%,66.7%,5.17,B+ (3.67),B (3.16)
Wang Yingxiao,BENG 168 - Biomolecular Engineering (A),WI19,95.0%,100.0%,6.61,B+ (3.63),A- (3.74)
Wheeler Bruce Christopher,BENG 179B - Design Implmnt Bioinstrumntatn (A),WI19,50.0%,100.0%,9.5,B+ (3.50),A- (3.87)
Pevzner Pavel Arkadjevich,BENG 181 - Molecular Sequence Analysis (A),WI19,100.0%,85.7%,19.07,A- (3.86),B (3.21)
Cauwenberghs Gert,BENG 186B - Princpls/Bioinstrumentatn Desn (A),WI19,93.8%,80.0%,9.0,B+ (3.38),B+ (3.33)
Wheeler Bruce Christopher,BENG 187C - BENG Design Proj:Implemntation (A),WI19,92.3%,100.0%,5.12,A- (3.92),
Alvarado Christine J.,CSE 100 - Advanced Data Structures (A),WI19,97.3%,99.6%,11.41,B (3.28),B (3.05)
Alvarado Christine J.,CSE 100 - Advanced Data Structures (B),WI19,97.7%,99.2%,10.52,B+ (3.35),B (3.05)
Jones Miles E,CSE 101 - Design & Analysis of Algorithm (A),WI19,92.6%,94.1%,8.47,B (3.23),B- (2.97)
Jones Miles E,CSE 101 - Design & Analysis of Algorithm (B),WI19,96.6%,89.7%,8.91,B+ (3.42),B- (2.97)
Minnes Kemp Mor Mia,CSE 105 - Theory of Computation (A),WI19,92.3%,98.0%,8.81,B+ (3.33),B- (2.89)
Minnes Kemp Mor Mia,CSE 105 - Theory of Computation (B),WI19,92.1%,96.5%,7.32,B+ (3.39),B- (2.89)
Zaitsev Anna L,CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),WI19,90.1%,84.3%,11.1,B+ (3.45),B+ (3.36)
Zaitsev Anna L,CSE 11 - Intr/Computer Sci&Obj-Ori:Java (B),WI19,90.6%,94.2%,10.73,B+ (3.55),B+ (3.36)
Griswold William G.,CSE 110 - Software Engineering (A),WI19,83.6%,90.0%,11.42,B+ (3.55),B (3.28)
Politz Joseph Gibbs,CSE 12 - Basic Data Struct & OO Design (A),WI19,96.4%,95.2%,9.97,B+ (3.35),B (3.18)
Politz Joseph Gibbs,CSE 12 - Basic Data Struct & OO Design (B),WI19,96.2%,99.0%,8.65,B+ (3.51),B (3.18)
Gillespie Gary N,CSE 12 - Basic Data Struct & OO Design (C),WI19,93.0%,88.9%,12.47,B+ (3.52),B (3.18)
Pasquale Joseph,CSE 120 - Princ/Computer Operating Systm (A),WI19,96.1%,98.0%,9.64,B+ (3.33),B- (2.96)
Pasquale Joseph,CSE 120 - Princ/Computer Operating Systm (B),WI19,100.0%,100.0%,8.79,B+ (3.61),B- (2.96)
Porter George M,CSE 124 - Networked Services (A),WI19,87.0%,91.3%,7.63,B+ (3.39),B+ (3.37)
Stefan Deian,CSE 127 - Intro to Computer Security (A),WI19,83.9%,80.6%,6.9,B (3.28),B+ (3.50)
Polikarpova Nadezhda,CSE 130 - Progrmng Lang:Princpl&Paradigm (A),WI19,66.7%,76.9%,9.95,B (3.25),B (3.28)
Vianu Victor Dan,CSE 132A - Database System Principles (A),WI19,79.1%,74.4%,6.27,B (3.14),B (3.13)
Deutsch Alin Bernard,CSE 132B - Database System Applications (A),WI19,62.5%,62.5%,4.75,B+ (3.57),A- (3.78)
Powell Thomas Allan,CSE 135 - Online Database Analytics Appl (A),WI19,82.8%,79.3%,9.5,B (3.30),B+ (3.38)
Orailoglu Alex,CSE 140 - Component&Desgn Tech/Digtl Sys (A),WI19,20.0%,20.0%,7.7,B- (2.80),C+ (2.68)
Rosing Tajana Simunic,CSE 140 - Component&Desgn Tech/Digtl Sys (B),WI19,82.6%,94.2%,8.38,B- (2.88),C+ (2.59)
Orailoglu Alex,CSE 140L - Digital Systems Laboratory (A),WI19,46.2%,15.4%,17.21,B (3.21),B- (2.79)
Orailoglu Alex,CSE 140L - Digital Systems Laboratory (B),WI19,28.6%,28.6%,16.21,C- (1.71),
Porter Leonard Emerson,CSE 141 - Intro/Computer Architecture (A),WI19,83.6%,93.6%,7.57,B (3.25),B (3.01)
Esmaeilzadeh Hadi,CSE 141 - Intro/Computer Architecture (B),WI19,72.3%,73.0%,6.71,B+ (3.31),B+ (3.57)
Eldon John,CSE 141L - Project/Computer Architecture (A),WI19,66.7%,74.1%,6.57,B+ (3.33),B+ (3.38)
Eldon John,CSE 141L - Project/Computer Architecture (B),WI19,82.1%,89.3%,8.16,B+ (3.46),B+ (3.38)
Tullsen Dean Michael,CSE 148 - Adv Processor Arch Design Proj (A),WI19,100.0%,100.0%,8.5,B+ (3.33),
Gao Sicun,CSE 150 - Int Artif Intell:Search&Reason (A),WI19,98.8%,97.6%,7.88,A- (3.79),A- (3.79)
Dasgupta Sanjoy,CSE 151 - Intro to A.I. Stats Approach (A),WI19,94.0%,94.0%,6.09,B+ (3.63),B+ (3.63)
Berg-Kirkpatrick Taylor D,CSE 151 - Intro to A.I. Stats Approach (B),WI19,75.0%,50.0%,9.0,B+ (3.55),B+ (3.34)
Chandraker Manmohan Krishna,CSE 152 - Intro to Computer Vision (A),WI19,86.7%,70.0%,9.33,B+ (3.52),B+ (3.45)
Ochoa Benjamin Lawrence,CSE 15L - Software Tools&Techniques Lab (A),WI19,82.5%,96.2%,3.24,B+ (3.67),B (3.29)
Ochoa Benjamin Lawrence,CSE 15L - Software Tools&Techniques Lab (B),WI19,85.9%,89.6%,3.99,B+ (3.62),B (3.29)
Altintas De Callaf Ilkay,CSE 15L - Software Tools&Techniques Lab (C),WI19,79.0%,80.3%,4.09,B+ (3.68),B+ (3.33)
Schulze Jurgen P.,CSE 165 - 3D User Interaction (A),WI19,100.0%,100.0%,8.65,A- (3.77),A- (3.87)
Ramamoorthi Ravi,CSE 167 - Computer Graphics (A),WI19,96.9%,100.0%,10.26,B+ (3.51),B (3.29)
Rotenberg Steven Paul,CSE 169 - Computer Animation (A),WI19,100.0%,100.0%,8.5,A- (3.88),B+ (3.52)
Klemmer Scott R,CSE 170 - Interaction Design (A),WI19,40.0%,30.0%,10.7,B+ (3.30),B+ (3.51)
Safonova Iana,CSE 180 - Biology Meets Computing (A),WI19,58.3%,25.0%,8.17,B+ (3.63),B+ (3.31)
Pevzner Pavel Arkadjevich,CSE 181 - Molecular Sequence Analysis (A),WI19,83.3%,66.7%,13.17,B+ (3.33),
Shalev Aaron D,CSE 190 - Topics/Computer Sci & Engineer (A),WI19,100.0%,100.0%,9.3,A- (3.75),
Bach Quang Tran,CSE 20 - Intro/Discrete Mathematics (A),WI19,88.6%,94.2%,7.2,B (3.22),B (3.23)
Kahng Andrew Byun,CSE 21 - Math/Algorithm&Systems Analys (A),WI19,95.8%,93.6%,7.38,B+ (3.43),B (3.08)
Jones Miles E,CSE 21 - Math/Algorithm&Systems Analys (B),WI19,88.1%,95.2%,6.35,B (3.29),B (3.10)
Ord Richard,CSE 30 - Computer Organiz&Systms Progrm (A),WI19,77.8%,91.7%,15.76,B (3.15),C+ (2.57)
Ord Richard,CSE 30 - Computer Organiz&Systms Progrm (B),WI19,88.2%,91.2%,14.44,B (3.16),C+ (2.57)
Cottrell Garrison W,CSE 87 - Freshman Seminar (A),WI19,85.7%,85.7%,0.5,A (4.00),
Gillespie Gary N,CSE 8A - Intro/Computer Sci: Java (I) (A),WI19,92.8%,86.1%,8.88,B+ (3.61),B+ (3.34)
Gillespie Gary N,CSE 8A - Intro/Computer Sci: Java (I) (B),WI19,85.7%,81.5%,9.02,B+ (3.54),B+ (3.34)
Cao Yingjun,CSE 8B - Intro/Computer Sci. Java (II) (A),WI19,89.4%,89.3%,14.88,B (3.14),B- (2.76)
Cao Yingjun,CSE 95 - Tutor Apprentice (A),WI19,94.1%,100.0%,2.26,A (4.00),
Jemmott Colin William,DSC 10 - Principles of Data Science (A),WI19,97.0%,95.5%,6.98,B+ (3.66),B (3.27)
Langlois Marina,DSC 20 - Prgrmng/DataStruc for Data Sci (A),WI19,94.8%,87.0%,9.23,B+ (3.34),B- (2.95)
Tiefenbruck Janine LoBue,DSC 40A - Theor Fndtns of Data Sci I (A),WI19,92.0%,96.0%,8.17,B (3.09),B- (2.81)
Tiefenbruck Janine LoBue,DSC 40A - Theor Fndtns of Data Sci I (B),WI19,89.3%,96.4%,7.5,B+ (3.36),B- (2.81)
Eldridge Justin Matthew,DSC 40B - Theor Fndtns of Data Sci II (A),WI19,64.0%,84.0%,7.46,B- (2.96),B (3.12)
Langlois Marina,DSC 80 - Practice of Data Science (A),WI19,83.3%,83.3%,13.83,C+ (2.67),B- (2.98)
Fraenkel Aaron Mcmillan,DSC 80 - Practice of Data Science (B),WI19,96.8%,96.8%,13.79,B+ (3.48),B- (2.99)
Fraenkel Aaron Mcmillan,DSC 95 - Tutor Appshp in Data Science (A),WI19,100.0%,100.0%,1.3,,
Quer Giorgio,DSC 96 - Workshop in Data Science (A),WI19,80.0%,80.0%,2.1,A (4.00),
Quer Giorgio,DSC 96 - Workshop in Data Science (C),WI19,100.0%,100.0%,2.9,A (4.00),
Abd El-Messih Andrew Saad,ECE 100 - Linear Electronic Systems (A),WI19,76.9%,74.4%,9.0,B (3.16),B- (2.79)
Touri Behrouz,ECE 101 - Linear Systems Fundamentals (A),WI19,86.1%,94.4%,7.09,B (3.25),B+ (3.34)
Hsueh Tzu-Chien,ECE 102 - Intro/Active Circuit Design (A),WI19,88.9%,77.8%,9.87,B (3.05),B (3.00)
Lomakin Vitaliy,ECE 107 - Electromagnetism (A),WI19,100.0%,81.3%,8.13,B (3.19),C+ (2.59)
Vardy Alexander,ECE 109 - Engineering Probability&Stats (A),WI19,72.1%,83.3%,8.31,B (3.10),B- (2.81)
Lin Bill,ECE 111 - Advanced Digital Design Proj (A),WI19,73.9%,95.7%,7.5,B+ (3.42),B+ (3.41)
Lin Bill,ECE 111 - Advanced Digital Design Proj (B),WI19,94.7%,100.0%,6.08,B+ (3.37),B+ (3.41)
Yip Michael,ECE 115 - Fast Prototyping (A),WI19,100.0%,100.0%,10.1,B (3.00),
Esmaili Gholamreza,ECE 121B - Energy Conversion (A),WI19,100.0%,100.0%,8.21,B+ (3.43),B- (2.97)
Esmaili Gholamreza,ECE 125A - Intro to Power Electronics I (A),WI19,100.0%,100.0%,9.17,B+ (3.44),B (3.16)
Ng Tse Nga,ECE 134 - Electrnc Materls Sci/Integ Cir (A),WI19,100.0%,100.0%,5.61,A- (3.78),B+ (3.45)
Gessner Richard K.,ECE 140A - The Art of Product Eng I (A),WI19,86.4%,90.9%,7.95,B+ (3.41),B+ (3.43)
Khoshabeh Ramsin,ECE 140A - The Art of Product Eng I (A),WI19,86.4%,90.9%,7.95,B+ (3.41),B+ (3.43)
Gessner Richard K.,ECE 141A - Software Foundations I (A),WI19,100.0%,97.5%,9.05,B+ (3.58),B+ (3.38)
Unpingco Jose H.,ECE 143 - Programming for Data Analysis (A),WI19,94.3%,96.2%,7.62,A- (3.79),B+ (3.50)
Phan Alex Minh Giang,ECE 144 - LabVIEW Programming (A),WI19,94.4%,100.0%,14.61,B+ (3.44),B+ (3.63)
Hildebrand John A,ECE 145BL - Acoustics Lab (A),WI19,75.0%,100.0%,6.0,A (4.00),
de Oliveira Mauricio,ECE 148 - Intro to Autonomous Vehicles (A),WI19,60.0%,80.0%,8.9,A- (3.83),
Silberman Jack,ECE 148 - Intro to Autonomous Vehicles (A),WI19,60.0%,80.0%,8.9,A- (3.83),
Gilja Vikash,ECE 15 - Engineering Computation (A),WI19,80.0%,90.0%,8.61,B (3.14),B (3.23)
Lugannani Robert,ECE 153 - Probability&Random Process/Eng (A),WI19,100.0%,100.0%,5.5,B+ (3.67),B (3.23)
Milstein Laurence B.,ECE 154B - Communications Systems II (A),WI19,80.0%,80.0%,8.5,B+ (3.40),
Ling Patrick L,ECE 157A - Communications Systems Lab I (A),WI19,100.0%,100.0%,8.5,B+ (3.67),
Khoshabeh Ramsin,ECE 16 - Rapid Hardware & Software Dsn (A),WI19,92.3%,92.3%,14.5,B (3.18),B (3.15)
Nguyen Truong Quang,ECE 161B - Digital Signal Processing I (A),WI19,100.0%,100.0%,7.87,B (3.00),B+ (3.34)
Trivedi Mohan M.,ECE 172A - Introductn/Intelligent Systems (A),WI19,84.0%,84.0%,8.26,B (3.24),B (3.17)
Vasconcelos Nuno,ECE 175A - Pattrn Recogn and Machine Lrng (A),WI19,81.3%,87.5%,9.38,B (3.00),B (3.03)
Kumar Rakesh,ECE 180 - Topics in ECE (A),WI19,96.7%,93.3%,6.3,A- (3.83),B+ (3.49)
Abi Samra Nicholas Camill,ECE 180 - Topics in ECE (C),WI19,100.0%,100.0%,3.77,A- (3.82),A- (3.73)
Cosman Pamela C.,ECE 191 - Engineering Group Design Proj (A),WI19,100.0%,100.0%,9.83,B+ (3.67),B (3.30)
Zhang Xinyu,ECE 191 - Engineering Group Design Proj (A),WI19,100.0%,100.0%,9.83,B+ (3.67),B (3.30)
Dey Sujit,ECE 25 - Introduction to Digital Design (A),WI19,93.8%,92.3%,5.95,B+ (3.38),B (3.05)
Yun Kenneth Yi,ECE 30 - Intro to Computer Engineering (A),WI19,61.1%,77.8%,5.06,B+ (3.44),B- (2.91)
Schurgers Curt,ECE 35 - Introduction to Analog Design (A),WI19,85.9%,97.4%,9.47,B (3.08),C+ (2.45)
Zeger Kenneth A.,ECE 45 - Circuits and Systems (A),WI19,77.4%,75.4%,7.53,B- (2.79),B- (2.71)
Eldon John,ECE 5 - Intro to ECE (A),WI19,93.3%,100.0%,5.5,A- (3.73),B+ (3.55)
Gilja Vikash,ECE 5 - Intro to ECE (A),WI19,93.3%,96.4%,5.5,A- (3.73),B+ (3.55)
Nguyen Truong Quang,ECE 5 - Intro to ECE (A),WI19,93.3%,100.0%,5.5,A- (3.73),B+ (3.55)
Baghdadchi Saharnaz,ECE 65 - Components & Circuits Lab (A),WI19,92.6%,97.8%,7.5,B+ (3.33),B- (2.74)
Wittenberg Eva H,LIGN 101 - Introduction/Study of Language (A),WI19,95.2%,90.0%,3.67,B (3.12),B- (2.95)
Kim Seung Kyung,LIGN 110 - Phonetics (A),WI19,89.7%,71.4%,4.5,B (3.17),B (3.20)
Styler William Francis,LIGN 111 - Phonology I (A),WI19,94.7%,94.9%,6.34,B+ (3.42),B+ (3.55)
Garellek Marc,LIGN 112 - Speech Sounds&Speech Disorders (A),WI19,100.0%,97.3%,3.8,B+ (3.35),B- (2.96)
Munoz Sanchez Alicia,LIGN 119 - 1st&2nd Lang Lrn:Child to Adol (A),WI19,95.7%,95.7%,3.72,B+ (3.35),B (3.01)
Momma Shota,LIGN 121 - Syntax I (A),WI19,87.2%,81.6%,5.76,B (3.30),B (3.18)
Kehler Andrew Scott,LIGN 17 - Making and Breaking Codes (A),WI19,97.5%,100.0%,2.67,B (3.28),B (3.15)
Wittenberg Eva H,LIGN 170 - Psycholinguistics (A),WI19,71.4%,83.3%,3.64,B+ (3.43),B- (2.89)
Micklos Ashley M.,LIGN 174 - Gender & Language in Society (A),WI19,95.2%,100.0%,3.64,B (3.24),B (3.14)
Styler William Francis,LIGN 6 - Computers and Language (A),WI19,100.0%,100.0%,3.17,A- (3.94),B+ (3.58)
Mayberry Rachel,LIGN 7 - Sign Languages&Their Cultures (A),WI19,86.9%,87.7%,3.02,B (3.25),B (3.01)
McIntosh Justin Daniel,LIGN 8 - Languages & Cultures/America (A),WI19,93.2%,89.4%,3.4,B+ (3.49),B+ (3.51)
Nomura Keiko K.,MAE 101A - Introductory Fluid Mechanics (A),WI19,98.1%,85.2%,7.24,B (3.11),B (3.18)
Del Alamo Juan Carlos,MAE 101A - Introductory Fluid Mechanics (B),WI19,81.3%,68.8%,8.62,B- (2.76),B- (3.00)
Llewellyn Smith Stefan G.,MAE 101B - Advanced Fluid Mechanics (A),WI19,90.9%,90.9%,7.41,B (3.27),
Miller David R.,MAE 101B - Advanced Fluid Mechanics (B),WI19,94.1%,88.2%,10.26,B+ (3.69),B+ (3.44)
Becker Janet Maria,MAE 105 - Intro To Mathematical Physics (A),WI19,66.7%,86.4%,8.72,B (3.05),B (3.17)
Rangamani Padmini,MAE 11 - Thermodynamics (A),WI19,97.6%,95.8%,7.62,B (3.29),B- (2.97)
Sanchez Antonio Luis,MAE 113 - Fundamentals of Propulsion (A),WI19,78.6%,64.3%,8.5,B (3.15),B- (2.97)
Krasheninnikov Sergei,MAE 118 - Intro to Energy & Environment (A),WI19,81.0%,76.2%,4.31,B+ (3.48),B- (2.73)
Kleissl Jan,MAE 123 - Intro/Transprt in Porous Media (A),WI19,90.0%,100.0%,6.12,B+ (3.38),B (3.25)
Kleissl Jan,MAE 125 - Building Energy Efficiency (A),WI19,85.7%,100.0%,5.88,B+ (3.31),B+ (3.68)
Kleissl Jan,MAE 126A - Environmental Enginring Lab (A),WI19,100.0%,100.0%,8.93,A- (3.71),B+ (3.47)
Nemat-Nasser Siavouche,MAE 130A - Mechanics I: Statics (A),WI19,95.1%,80.0%,5.07,B+ (3.33),B- (2.98)
Eliasson Veronica,MAE 130B - Mechanics II: Dynamics (A),WI19,91.3%,93.5%,12.63,B (3.00),C+ (2.45)
Amaddeo Carmen N.,MAE 130B - Mechanics II: Dynamics (B),WI19,88.9%,92.6%,6.36,B (3.11),B (3.00)
Nesterenko Vitali F,MAE 130C - Mechanics III: Vibrations (A),WI19,74.4%,81.6%,6.97,B (3.00),B (3.25)
Bahadori Mohammad Yousef,MAE 131A - Solid Mechanics I (A),WI19,91.7%,100.0%,6.0,B (3.17),B (3.04)
Ghazinejad Maziar,MAE 131B - Solid Mechanics II (A),WI19,100.0%,100.0%,5.06,B (3.28),B (3.22)
Cortes Jorge,MAE 140 - Linear Circuits (A),WI19,94.4%,94.4%,7.07,B (3.17),B- (2.88)
Anderson Mark Ronald,MAE 142 - Dynmcs&Control/Aerospace Vehic (A),WI19,88.2%,100.0%,6.5,B- (2.88),B+ (3.36)
Bitmead Robert R.,MAE 143A - Signals and Systems (A),WI19,45.5%,20.9%,9.32,B- (2.87),B (3.04)
Martinez Sonia,MAE 145 - Robotic Planning & Estimation (A),WI19,75.0%,87.5%,7.75,B+ (3.50),B+ (3.44)
Gravish Nicholas G,MAE 150 - Computer-Aided Analysis&Design (A),WI19,93.3%,100.0%,8.77,B (3.23),C+ (2.66)
Delson Nathan Joseph,MAE 154 - Prod. Desgn. & Entrepreneur. (A),WI19,100.0%,95.8%,9.14,A- (3.92),B+ (3.63)
Anderson Mark Ronald,MAE 155A - Aerospace Engineering Design I (B),WI19,100.0%,100.0%,5.79,B+ (3.44),A- (3.78)
Gravish Nicholas G,MAE 156A - Fund. Prin./Mechanical Desgn I (A),WI19,87.5%,100.0%,9.38,B (3.13),B (3.14)
Tustaniwskyj Jerry I,MAE 156A - Fund. Prin./Mechanical Desgn I (B),WI19,50.0%,28.6%,10.75,B (3.25),B (3.27)
Tustaniwskyj Jerry I,MAE 156B - Fund. Prin/Mechanical Desgn II (B),WI19,81.8%,72.7%,17.77,B+ (3.64),B+ (3.68)
Evdokimenko Ekaterina,MAE 160 - Mechanical Behavior/Materials (B),WI19,98.1%,96.2%,5.04,B+ (3.57),B+ (3.63)
Seshadri Kalyanasundaram,MAE 171A - Mechanical Engineering Lab I (A),WI19,58.6%,65.5%,9.67,B+ (3.55),B+ (3.45)
de Callafon Raymond A,MAE 175A - Aerospace Engineering Lab (A),WI19,61.1%,61.1%,9.39,B (3.11),A- (3.71)
Bahadori Mohammad Yousef,MAE 181 - Space Mission Analysis/Design (A),WI19,100.0%,100.0%,7.7,B+ (3.43),B (3.22)
Ghazinejad Maziar,MAE 198 - Directed Group Study (A),WI19,100.0%,100.0%,4.25,B+ (3.33),
Garay Javier,MAE 20 - Elements of Materials Science (A),WI19,78.3%,73.9%,6.0,B (3.08),B- (2.93)
Gibson Carl H.,MAE 5 - Quantitative Computer Skills (A),WI19,73.5%,73.5%,4.32,B+ (3.68),A- (3.75)
Delson Nathan Joseph,MAE 7 - Spatial Visualization (A),WI19,80.0%,100.0%,0.9,A (4.00),
